country,code,name,name_wo,sub_division,function,status,iata,coordinates,remarks,locode
FR,RQI,Roquetoire,Roquetoire,62,--3-----,RL,,5040N 00221E,,FRRQI
FR,RQT,Roquettes,Roquettes,31,--3-----,RL,,4330N 00122E,,FRRQT
FR,VQ9,Roquevaire,Roquevaire,13,--3-----,RL,,4321N 00536E,,FRVQ9
FR,RR5,Rorschwihr,Rorschwihr,68,--3-----,RL,,4813N 00722E,,FRRR5
FR,ROR,Rorthais,Rorthais,79,--3-----,RL,,4655N 00043W,,FRROR
FR,ROS,Roscoff,Roscoff,29,--3-----,AF,,4844N 00359W,,FRROS
FR,ROD,Rosendaël,Rosendael,59,--3-----,RL,,5102N 00224E,,FRROD
FR,RO2,Rosenwiller,Rosenwiller,67,-----6--,RL,,4830N 00727E,,FRRO2
FR,ROJ,Rosey,Rosey,70,-----6--,RL,,4734N 00602E,,FRROJ
FR,OJJ,Rosey,Rosey,71,-----6--,RL,,4645N 00442E,,FROJJ
FR,SHJ,Rosheim,Rosheim,67,-----6--,RL,,4830N 00728E,,FRSHJ
FR,RJR,Rosières,Rosieres,7,-----6--,RL,,4429N 00417E,,FRRJR
FR,R8S,Rosières,Rosieres,81,--3-----,RL,,4403N 00211E,,FRR8S
FR,RXL,Rosières-aux-Salines,Rosieres-aux-Salines,54,123-----,RL,,4836N 00620E,,FRRXL
FR,RES,Rosières-en-Santerre,Rosieres-en-Santerre,80,--3-----,RL,,4949N 00243E,,FRRES
FR,RPR,Rosières-près-Troyes,Rosieres-pres-Troyes,10,-23-----,RL,,4816N 00404E,,FRRPR
FR,NYJ,Rosnay,Rosnay,85,-----6--,RL,,4632N 00118W,,FRNYJ
FR,RYB,Rosny-sous-Bois,Rosny-sous-Bois,93,--3-----,RL,,4853N 00229E,,FRRYB
FR,RYK,Rosny-sur-Seine,Rosny-sur-Seine,78,--3-----,RL,,4900N 00138E,,FRRYK
FR,RPZ,Rospez,Rospez,22,--3-----,RL,,4711N 00003E,,FRRPZ
