country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks,UNLogNumber
CL,CLQMC,Quemchi,Quemchi,LL,1-3-----,AI,,4208S 07329W,,
CL,CLQLA,Quilaco,Quilaco,BI,--3-----,RN,,3740S 07159W,,
CL,CLQUI,Quilicura,Quilicura,RM,-23-----,RL,,3322S 07045W,,
CL,CLQLO,Quilleco,Quilleco,BI,--3-----,RN,,3728S 07158W,,
CL,CLQIN,Quillón,Quillon,BI,--3-----,RN,,3644S 07228W,,
CL,CLQTA,Quillota,Quillota,VS,-23-----,RN,,3253S 07116W,,
CL,CLQIL,Quilpué,Quilpue,VS,-23-----,RL,,3302S 07126W,,
CL,CLQCO,Quinchao,Quinchao,LL,1-------,RN,,4231S 07324W,,
CL,CLQDT,Quinta de Tilcoco,Quinta de Tilcoco,LI,--3-----,RN,,3421S 07059W,,
CL,CLQNO,Quinta Normal,Quinta Normal,RM,--3-----,RN,,3327S 07042W,,
CL,CLQTV,Quintero,Quintero,VS,1-3-----,AI,,3246S 07132W,,
CL,CLQRH,Quirihue,Quirihue,BI,--3-----,RN,,3617S 07232W,,
CL,CLQRC,Rancagua,Rancagua,LI,-234----,AI,,3409S 07043W,,
CL,CLRAN,Ránquil,Ranquil,BI,--3-----,RN,,3639S 07233W,,
CL,CLRAP,Rapel,Rapel,LI,--3-----,RL,,3357S 07145W,,
CL,CLRAF,Rauco,Rauco,LL,1-3-----,RN,,4232S 07347W,,
CL,CLRAU,Rauco,Rauco,ML,--3-----,RN,,3456S 07119W,,
CL,CLREC,Recoleta,Recoleta,RM,--3-----,RN,,3325S 07039W,,
CL,CLRNO,Renaico,Renaico,AR,-23-----,RN,,3740S 07235W,,
CL,CLREN,Renca,Renca,RM,--3-----,RN,,3324S 07044W,,
CL,CLRGO,Rengo,Rengo,LI,--3-----,RN,,3425S 07052W,,
CL,CLREQ,Requínoa,Requinoa,LI,-23-----,RN,,3417S 07050W,,
CL,CLRET,Retiro,Retiro,ML,--3-----,RN,,3603S 07146W,,
CL,CLRIN,Rinconada de Los Andes,Rinconada de Los Andes,VS,--3-----,RN,,3249S 07042W,,
CL,CLRBU,Río Bueno,Rio Bueno,LL,-23-----,RN,,4019S 07258W,,
CL,CLRCL,Río Claro,Rio Claro,ML,--3-----,RN,,3513S 07115W,,
CL,CLRIB,Río Ibáñez,Rio Ibanez,AI,--3-----,RN,,4618S 07157W,,
CL,CLRNE,Río Negro,Rio Negro,LL,-23-----,RN,,4047S 07314W,,
CL,CLRVE,Río Verde,Rio Verde,MA,--3-----,RN,,5239S 07128W,,
CL,CLRSD,Rocas de Santo Domingo,Rocas de Santo Domingo,VS,--3-----,RL,,3338S 07137W,,
CL,CLROM,Romeral,Romeral,ML,--3-----,RN,,3458S 07108W,,
CL,CLROS,Rosario,Rosario,LI,--3-----,RL,,3407S 07144W,,
CL,CLSAA,Saavedra,Saavedra,AR,1-3-----,RN,,3847S 07324W,,
CL,CLSAF,Sagrada Familia,Sagrada Familia,ML,--3-----,RN,,3500S 07123W,,
CL,CLSAL,Salamanca,Salamanca,CO,--3-----,RN,,3146S 07058W,,
CL,CLSAI,San Antonio,San Antonio,VS,123-----,AI,,3336S 07136W,,
